sleep_hours,daily_exercise_mins,screen_time_hours,diet_quality,stress_level,productivity,mood
7.54,9,4.78,5,6,4.34,6.24
6.03,9,2.73,7,7,5.92,5.69
7.54,72,0.5,4,6,4.77,4.54
9.31,5,5.14,7,7,6.07,6.33
6.95,34,6.68,3,9,3.55,4.45
9.35,25,5.11,6,7,5.81,6.44
3.07,0,3.99,2,9,2.81,1.38
8.23,100,4.03,4,5,6.21,5.65
7.13,28,4.34,6,7,3.76,5.43
6.55,23,4.28,3,9,4.48,3.65
7.14,10,3.88,3,7,2.77,5.81
4.02,16,4.05,8,6,5.08,4.66
6.67,6,7.11,3,9,3.8,2.78
7.54,1,4.94,6,7,4.65,4.95
9.22,36,4.21,9,3,7.42,6.11
6.22,45,5.32,6,7,4.09,5.05
5.79,4,5.32,6,9,3.09,3.47
6.25,31,5.89,5,6,4.99,3.97
8.37,27,2.49,5,6,5.21,6.07
7.49,4,3.04,6,7,6.08,3.69
6.21,11,2.37,2,9,3.2,3.13
7.77,11,5.53,8,4,5.15,7.15
7.15,29,5.44,6,8,6.77,4.14
8.45,36,1.45,3,6,4.12,5.05
5.95,2,4.78,8,6,5.11,6.81
6.51,17,6.74,7,10,4.52,5.66
6.41,29,3.53,7,6,5.8,5.08
4.8,31,4.63,10,6,5.23,5.06
7.44,3,5.46,6,8,4.48,5.38
7.39,15,1.36,9,6,5.98,6.06
7.01,39,4.3,6,7,6.44,6.63
6.65,8,6.54,7,6,5.54,5.61
4.88,11,2.81,5,7,3.41,2.65
6.37,33,5.66,3,9,3.39,2.6
6.49,2,4.05,3,7,3.75,2.96
5.8,39,2.65,6,8,4.11,4.14
6.76,7,3.81,6,6,3.72,4.96
7.61,0,2.95,4,5,4.27,5.22
9.83,5,2.22,6,7,5.15,5.0
7.26,2,3.49,7,6,6.39,4.34
7.39,2,4.14,8,7,5.43,4.76
6.89,24,3.67,5,7,3.66,4.43
4.12,5,3.47,7,7,3.95,4.8
6.96,55,4.45,9,6,6.49,5.5
7.09,15,5.06,7,6,5.76,5.83
10.69,12,1.71,5,7,6.08,5.64
6.71,11,3.5,6,6,5.31,4.34
7.45,24,0.5,6,7,5.28,5.17
6.95,12,3.68,7,7,5.03,5.11
5.25,3,4.3,6,5,6.83,5.84
8.71,42,5.14,7,5,5.73,6.65
8.13,11,4.31,8,6,4.91,5.15
8.19,2,5.1,4,6,4.37,6.11
5.64,15,4.13,4,6,4.02,5.19
9.1,21,2.65,7,6,4.97,5.42
4.9,6,1.77,6,5,4.92,3.7
7.88,32,3.47,8,6,5.59,5.73
10.29,22,2.47,8,4,5.35,6.23
5.51,21,3.76,3,9,3.49,4.06
6.15,11,3.02,4,8,3.44,4.64
7.15,65,4.84,6,4,6.56,6.06
6.24,6,4.1,4,7,3.33,3.84
4.67,17,4.89,5,8,3.36,4.02
7.1,7,4.88,4,8,4.4,3.96
5.41,27,3.64,5,8,3.91,3.88
7.71,1,3.76,4,7,3.81,4.43
5.62,1,5.0,7,6,3.94,4.95
9.32,33,8.89,8,7,6.85,6.66
5.83,11,2.02,7,7,4.49,4.17
6.52,8,4.08,10,6,4.93,5.99
8.22,19,1.61,8,4,6.2,6.61
5.15,24,3.96,8,6,4.95,5.17
7.34,4,2.65,6,5,5.66,3.85
8.96,4,3.76,5,6,4.37,5.32
4.59,63,4.31,8,7,6.37,4.9
7.28,18,3.02,6,7,4.7,4.53
7.39,10,0.5,6,5,6.72,6.05
8.17,32,6.85,6,7,5.4,6.1
5.14,15,5.68,7,6,4.99,4.99
5.02,6,3.74,8,6,5.42,4.08
7.78,5,2.21,8,4,5.75,5.48
7.45,10,4.17,5,8,3.62,5.82
7.38,39,4.72,6,8,5.62,6.28
7.52,1,5.54,7,5,6.88,6.04
5.98,5,5.72,9,7,5.11,4.66
7.35,45,6.1,3,9,4.23,4.72
7.44,3,0.52,6,5,5.65,6.6
5.93,20,3.39,5,6,3.49,6.38
9.8,5,5.99,5,5,6.39,4.86
7.71,19,2.15,4,6,4.03,6.68
5.21,10,6.44,7,7,5.44,3.01
7.98,2,7.62,2,8,3.87,4.9
5.54,17,6.38,6,7,5.22,4.05
8.18,23,5.32,3,8,3.1,4.96
8.74,23,3.1,5,6,6.11,4.67
5.77,20,4.56,6,7,4.67,5.52
8.45,14,1.31,5,5,5.36,4.91
7.62,15,2.44,7,5,6.54,5.15
8.23,20,2.58,8,5,6.76,7.45
9.85,23,4.12,10,4,7.4,6.53
6.63,21,3.22,6,7,3.35,4.39
5.87,18,4.52,8,7,4.81,6.41
5.67,3,5.76,9,6,5.76,5.71
5.78,5,2.58,5,8,3.67,4.75
6.88,6,4.3,8,4,5.85,5.46
7.51,50,3.17,2,6,5.1,3.4
7.42,28,4.38,7,8,6.18,5.34
8.24,16,5.37,9,5,6.38,6.09
7.02,6,5.84,6,7,4.02,4.43
9.18,2,5.34,6,7,6.24,5.42
6.6,46,4.83,6,7,4.89,5.42
11.0,45,1.16,9,4,8.2,7.5
7.94,2,1.84,3,7,3.99,4.84
5.71,32,2.35,5,8,3.48,5.41
5.39,12,4.72,8,7,3.91,5.43
7.72,8,1.42,7,6,6.63,6.88
6.66,27,4.68,8,5,5.61,6.64
8.07,19,4.53,7,6,6.15,6.6
7.71,30,0.5,5,6,6.9,4.96
6.89,2,1.82,7,6,5.93,6.22
5.73,8,6.09,4,6,5.28,3.95
4.73,8,5.39,2,9,1.99,3.89
6.33,8,2.3,5,7,4.48,5.89
8.28,14,1.93,6,7,4.8,6.31
7.32,7,0.5,5,6,4.27,5.29
5.13,12,6.94,6,8,3.51,4.39
7.26,9,4.08,6,8,4.24,5.14
7.58,27,7.77,3,7,3.78,3.58
5.67,19,3.62,5,7,4.37,3.58
7.23,21,4.57,8,7,5.73,6.27
7.09,5,5.78,7,9,5.39,4.39
5.29,8,7.28,5,6,4.34,4.24
7.54,0,5.0,7,6,6.62,5.15
7.84,2,4.0,9,6,7.42,5.45
8.62,6,4.06,5,7,4.7,4.65
8.58,1,1.91,7,7,5.82,7.68
4.93,18,3.24,7,6,4.73,4.28
5.59,126,4.1,5,7,4.69,4.73
7.77,2,6.76,4,6,5.1,3.81
7.77,34,3.14,9,5,7.02,6.84
7.77,3,6.13,8,7,5.87,5.46
11.0,22,3.84,5,7,6.67,4.78
7.86,21,6.49,8,8,4.99,6.95
8.7,47,5.35,7,7,6.89,4.27
8.43,2,5.22,8,5,6.79,5.41
7.98,8,5.96,3,8,2.57,3.91
6.53,2,5.67,5,8,3.8,4.87
8.14,10,6.13,9,6,6.3,5.75
5.84,49,8.26,10,6,7.81,5.47
6.64,30,7.23,5,9,4.41,4.45
6.27,26,4.93,5,7,4.72,4.16
7.12,15,3.12,7,6,5.2,4.46
10.47,43,4.73,7,6,6.58,7.8
4.2,12,0.5,7,9,5.33,4.83
8.03,3,5.66,2,7,4.06,4.7
4.58,36,1.88,6,7,5.59,4.69
6.29,7,6.24,7,7,4.53,4.81
8.63,1,7.96,2,10,3.89,4.81
7.1,3,1.1,3,9,2.69,3.39
5.38,19,3.9,3,8,3.15,3.92
5.93,19,1.87,7,6,4.92,5.41
8.02,6,0.54,4,6,4.96,5.11
5.9,26,3.79,4,8,3.98,2.85
7.32,30,5.27,6,8,4.84,4.31
7.07,51,5.51,4,7,5.62,6.2
6.02,18,4.31,7,9,4.27,5.28
10.22,30,0.67,10,1,8.56,7.43
7.95,28,4.25,5,5,5.37,4.02
3.96,6,1.01,3,9,2.82,2.05
7.28,7,1.15,5,6,6.52,4.33
6.01,13,2.01,7,5,5.67,5.88
8.28,0,6.1,7,7,5.16,4.0
5.81,7,5.09,8,7,5.31,6.43
6.83,13,4.65,5,8,4.82,4.86
7.76,2,2.27,5,5,5.06,6.2
8.3,3,3.22,2,8,3.4,4.16
5.2,12,1.26,7,7,4.47,4.72
6.5,26,6.73,4,7,1.95,3.77
6.29,36,8.39,6,8,4.02,4.23
6.02,16,5.11,4,9,4.24,4.04
9.65,13,5.46,6,7,5.83,6.05
7.61,10,3.68,8,5,5.63,5.08
5.11,4,0.76,5,6,4.64,2.3
8.38,3,2.31,5,8,5.64,4.86
10.18,31,3.07,6,5,6.5,7.71
8.55,13,3.23,5,4,5.38,5.36
4.72,31,2.77,4,7,3.78,1.48
6.27,24,4.1,9,7,4.88,6.16
8.9,4,2.3,3,5,5.59,4.81
5.94,14,8.34,7,8,5.87,3.88
7.67,12,1.27,6,5,4.62,3.94
8.16,11,5.77,5,7,4.46,5.31
5.61,16,3.48,7,6,5.11,5.66
6.91,80,4.93,6,7,5.3,5.33
3.0,34,5.02,8,7,4.73,3.55
5.46,47,4.31,4,8,3.49,2.21
6.62,1,1.73,5,6,3.18,6.79
5.13,3,3.34,8,8,5.27,4.77
9.45,2,4.34,6,6,6.19,6.36
4.85,6,4.21,7,6,5.11,4.5
6.34,12,1.95,8,5,6.98,5.65
7.2,21,6.58,7,5,5.02,5.4
9.16,14,0.5,5,4,7.29,6.38
4.85,47,3.5,5,6,5.59,5.08
8.74,56,2.16,8,3,6.84,7.62
7.02,4,4.36,6,7,3.92,5.75
5.53,38,6.03,6,8,3.71,4.78
7.69,13,1.19,7,4,6.42,6.03
7.3,12,8.71,4,7,3.38,4.26
6.1,31,4.4,6,8,4.8,4.58
7.1,2,4.76,6,6,4.71,5.71
6.42,43,1.12,6,4,5.8,4.12
7.17,22,3.91,5,7,5.45,5.21
7.99,42,5.94,5,7,5.42,5.06
9.38,104,4.42,6,6,7.36,6.73
5.14,15,4.28,9,9,6.17,5.32
10.2,2,3.9,2,6,3.52,5.17
4.07,4,1.24,7,8,4.37,4.89
6.77,8,1.23,6,6,5.04,5.13
7.88,2,6.34,6,7,4.88,4.9
7.42,34,5.76,5,6,3.52,4.78
6.07,7,6.06,7,6,4.91,4.63
6.69,74,2.35,8,4,6.09,5.78
6.26,24,3.68,3,6,4.68,5.39
6.12,4,6.46,10,7,7.18,5.36
8.27,13,1.54,6,5,4.92,4.16
7.54,13,6.26,6,10,4.76,4.54
5.96,14,2.83,3,7,2.61,2.88
8.35,15,2.29,5,7,5.3,5.23
7.46,1,3.94,8,6,6.21,5.35
8.22,23,1.77,6,3,6.4,5.8
7.94,13,0.5,7,3,7.17,6.81
5.76,31,4.15,5,6,5.04,4.83
6.16,34,5.07,10,7,4.51,7.0
8.12,5,6.43,6,8,6.2,6.49
7.92,1,5.21,8,8,4.26,5.8
6.97,24,7.93,6,5,6.31,5.01
7.18,76,6.72,7,5,6.44,6.34
8.92,12,5.48,7,6,6.01,5.29
6.11,6,4.94,8,6,6.33,4.66
7.82,3,6.46,7,7,5.53,4.89
6.7,7,0.5,5,6,5.54,4.71
6.67,8,3.04,8,5,5.69,5.24
8.65,11,0.5,4,4,5.06,6.38
8.24,21,5.33,4,6,4.14,5.43
8.22,6,2.51,5,6,6.69,4.85
8.96,1,10.04,7,6,6.42,3.74
7.03,9,2.96,4,7,4.33,4.34
8.02,39,4.21,6,5,5.29,6.53
6.53,14,3.2,4,6,5.58,4.76
7.49,67,3.02,6,5,6.64,5.85
6.8,14,1.51,8,6,6.41,5.5
7.15,6,1.44,4,7,5.48,4.4
7.89,4,0.5,4,8,5.54,3.67
5.77,24,5.09,7,8,6.07,4.62
10.14,15,3.15,5,6,6.44,4.39
5.49,19,7.87,10,9,3.99,3.98
5.18,28,1.51,6,7,4.4,4.91
8.74,26,6.95,8,6,6.36,6.2
8.19,1,7.14,4,9,4.39,3.27
7.94,32,6.55,7,7,6.04,6.37
7.94,15,4.47,4,7,4.7,4.56
6.98,10,3.32,6,6,3.97,5.51
5.65,15,6.55,5,7,4.26,4.89
7.11,19,2.42,8,5,4.55,5.36
5.98,3,4.54,7,8,3.31,3.58
8.46,11,3.91,6,5,5.97,5.29
6.78,8,2.22,8,6,4.84,5.09
5.76,9,4.56,6,7,4.1,4.56
6.52,2,5.48,8,5,5.62,5.78
7.62,3,2.14,9,6,5.58,5.8
6.15,4,4.92,6,6,4.88,5.38
5.77,9,0.5,6,5,5.82,6.4
7.37,45,1.9,8,5,5.65,5.14
7.37,5,3.09,9,7,5.32,5.27
6.24,11,4.71,6,8,4.9,4.36
6.29,7,5.74,5,8,3.77,3.56
7.35,31,4.17,8,7,6.13,6.21
4.83,1,5.13,7,7,4.61,3.59
4.89,4,3.68,8,9,4.14,4.06
5.92,5,4.81,7,7,5.6,5.98
6.68,99,4.7,6,7,4.81,6.7
7.47,17,2.98,6,4,5.97,6.6
9.21,3,3.29,7,6,4.37,5.47
8.29,6,5.2,3,8,4.31,4.86
6.76,4,7.62,8,7,5.0,6.09
6.97,3,6.41,7,6,4.1,4.34
5.5,32,1.74,4,9,5.12,2.35
6.97,14,1.75,6,5,4.51,5.9
6.57,20,2.93,8,6,5.28,4.17
7.48,8,4.2,7,6,6.19,4.98
5.76,16,4.1,5,8,4.3,2.83
7.78,6,6.48,4,5,4.36,4.74
9.3,7,6.59,10,6,6.06,8.49
6.84,21,4.01,3,9,3.92,4.5
7.6,3,3.54,7,4,5.35,7.04
8.04,19,5.03,5,6,5.16,5.61
6.4,38,6.13,8,7,4.85,4.22
7.34,3,5.1,4,7,4.94,4.31
7.02,46,3.14,9,6,5.73,6.64
7.15,2,2.78,6,7,3.82,5.47
5.84,9,1.78,6,7,6.65,5.52
7.04,19,4.39,5,9,5.14,3.89
7.75,16,5.25,5,8,4.2,4.95
9.18,2,5.47,5,5,4.72,5.31
8.44,32,6.3,7,7,6.13,6.52
10.23,72,6.96,3,7,5.12,5.54
5.85,4,1.25,5,7,5.11,4.46
8.31,45,4.81,9,6,6.84,6.8
7.28,16,4.88,6,8,5.02,5.27
10.28,55,3.85,5,5,6.53,6.47
5.79,4,2.34,4,8,4.94,4.93
5.74,31,6.89,4,7,3.83,2.64
6.1,1,2.82,8,5,5.41,6.24
3.81,43,0.5,5,7,3.65,4.47
6.21,22,4.04,7,8,5.28,5.22
5.86,9,3.52,4,9,3.13,3.59
7.23,4,7.72,6,10,5.08,5.9
7.51,34,4.98,6,7,6.15,5.33
9.81,18,3.39,5,7,4.42,6.78
8.43,9,3.61,6,4,6.44,7.41
6.13,12,3.58,2,6,2.86,3.09
5.65,35,8.43,6,7,4.08,4.39
7.74,8,5.35,7,5,5.46,4.43
5.02,2,1.19,4,8,3.38,2.83
9.75,48,3.51,6,7,5.91,6.79
8.77,10,3.95,6,6,6.12,5.62
6.3,9,1.78,6,5,5.8,4.66
4.43,5,0.5,4,8,3.51,5.54
9.03,46,5.19,6,5,6.06,5.96
6.83,5,2.39,3,7,4.55,3.04
8.86,20,6.5,5,6,4.49,4.65
4.61,43,4.02,6,8,4.35,4.51
6.1,1,3.05,6,5,4.63,5.18
7.01,35,0.5,4,4,5.46,4.61
7.07,11,6.44,5,6,3.75,4.07
6.32,21,4.59,7,7,5.22,4.55
7.93,9,3.1,4,5,5.16,6.25
5.4,24,2.22,2,10,4.66,4.25
6.79,6,7.2,7,8,3.7,4.87
7.18,0,1.87,4,7,6.11,4.76
7.77,59,3.26,5,7,6.81,5.55
8.07,0,5.14,6,7,5.92,4.77
5.31,35,6.9,6,8,3.89,4.97
4.7,4,3.57,8,8,5.16,3.32
8.92,10,2.53,6,6,4.44,6.16
7.5,35,3.79,6,6,3.96,6.42
5.88,5,5.81,3,10,2.76,2.52
9.33,40,6.26,7,6,5.43,5.99
7.17,14,1.25,5,6,3.6,3.15
8.77,9,4.23,10,3,8.06,6.53
7.1,22,1.13,6,5,4.95,6.96
10.09,8,5.77,7,7,6.26,4.66
9.63,9,4.84,7,5,8.14,5.7
6.63,26,2.16,6,7,4.95,6.29
8.46,7,7.07,7,6,4.51,5.52
7.97,4,4.67,10,4,7.77,6.24
9.05,33,4.45,5,6,5.49,5.81
5.55,33,3.64,2,7,4.28,3.03
8.03,14,3.98,4,6,2.89,4.36
8.59,15,3.24,8,4,6.56,6.75
4.36,24,2.52,5,8,3.85,3.52
5.23,14,6.46,10,7,4.9,5.71
3.94,11,3.01,7,7,4.91,5.86
6.6,106,2.95,5,4,5.5,6.49
8.08,3,3.74,5,5,4.94,5.49
9.25,18,6.85,5,7,5.27,5.14
7.11,43,6.26,2,7,4.71,2.75
9.44,23,3.21,6,4,6.02,7.33
4.93,43,6.45,7,8,4.39,4.36
4.44,8,4.22,4,7,3.38,2.72
6.92,6,2.31,3,5,4.28,3.18
7.58,38,3.05,4,6,4.08,5.1
6.95,10,6.75,8,6,5.81,5.64
3.9,25,8.17,7,8,4.46,3.5
6.87,3,4.64,6,7,3.51,5.51
5.04,28,2.87,9,6,5.06,5.81
8.0,16,3.75,3,7,5.45,3.68
7.55,6,2.48,6,7,5.16,3.92
5.59,14,2.77,7,5,4.81,5.03
6.23,24,2.57,7,8,4.17,4.7
5.41,0,3.84,7,9,5.14,4.77
6.91,20,4.24,7,6,4.79,6.14
8.43,16,3.7,8,5,6.64,7.34
5.52,5,3.56,7,8,5.86,3.82
7.76,28,5.52,4,7,4.77,4.35
6.2,7,3.54,5,7,5.37,3.9
5.81,6,3.67,3,8,3.91,2.6
6.84,13,3.65,8,6,6.21,6.42
5.45,23,7.09,8,6,4.74,5.06
6.17,53,3.02,4,8,3.86,5.13
5.2,3,5.19,5,7,3.54,3.84
9.95,10,2.5,3,5,5.13,5.99
7.05,1,4.7,6,8,4.78,4.3
5.95,28,5.09,5,7,4.9,3.5
7.32,12,6.17,4,7,3.2,4.82
6.83,25,3.23,6,7,5.13,4.14
6.67,8,1.77,9,6,5.98,5.39
7.92,37,2.43,7,8,5.7,6.01
8.14,15,5.93,6,8,4.24,4.84
6.2,58,8.16,6,9,4.87,5.34
6.14,2,5.67,9,6,5.52,5.02
6.59,14,1.48,8,8,5.9,4.33
3.55,29,5.6,5,9,3.19,3.18
4.73,18,2.11,7,6,4.95,2.74
9.05,0,3.3,4,7,5.34,4.78
9.47,72,4.37,6,6,6.44,5.47
6.63,7,4.71,7,5,4.19,5.93
7.86,6,4.13,8,5,4.19,6.23
7.47,13,2.8,5,7,4.28,5.4
11.0,16,6.12,8,4,5.69,7.92
8.68,29,2.94,6,6,5.97,6.48
6.81,10,6.51,5,8,3.5,4.88
5.57,12,1.28,9,6,5.02,6.34
4.59,15,4.43,5,8,5.01,4.54
7.31,10,1.55,4,7,4.33,3.63
5.87,49,2.33,5,5,5.9,5.61
4.87,38,2.97,7,5,5.09,5.29
6.03,12,7.04,4,7,2.82,4.23
5.38,0,6.62,7,8,4.13,5.69
9.53,46,5.75,4,6,3.88,5.94
8.32,3,4.07,6,7,5.34,5.2
6.99,6,4.38,10,6,5.23,4.84
9.22,3,6.53,4,6,4.91,4.83
7.12,4,5.4,2,8,3.12,4.0
5.71,32,4.04,8,6,6.16,4.73
9.28,17,6.97,3,8,4.59,5.57
7.81,63,5.63,5,6,5.22,6.84
5.44,5,4.48,7,7,4.16,4.84
6.71,13,3.08,7,7,5.25,5.12
5.69,76,2.9,2,7,3.96,3.76
4.93,35,3.33,5,7,2.6,5.7
8.39,26,4.91,8,5,5.76,7.37
9.86,4,5.67,10,5,6.83,6.03
4.9,29,1.11,4,8,3.42,3.88
7.84,9,0.5,8,3,6.54,8.01
6.02,15,2.1,5,7,4.55,5.22
6.27,19,3.18,8,6,3.82,4.82
6.11,19,6.39,4,9,3.23,3.6
5.7,26,3.44,6,6,5.73,4.62
7.07,22,4.51,7,7,5.6,4.52
5.75,1,4.84,8,7,5.25,6.83
7.41,12,1.95,7,7,6.09,6.57
6.92,22,6.92,5,10,3.93,4.6
6.64,7,2.67,5,8,4.01,4.81
5.64,8,7.12,9,6,5.67,6.45
6.13,3,3.75,6,7,5.31,4.33
8.13,11,3.32,5,7,5.9,5.8
7.75,87,1.78,7,6,6.0,8.25
5.53,7,4.39,7,7,5.05,5.06
7.15,15,8.51,4,9,3.79,4.65
8.13,27,4.83,7,7,6.09,5.7
4.5,0,4.54,3,10,2.71,2.38
7.82,46,2.67,5,4,5.71,4.91
6.01,10,5.18,4,9,4.27,3.9
7.86,41,4.32,6,6,5.33,4.49
5.86,1,3.87,5,6,4.01,3.78
4.29,3,4.99,6,6,4.74,3.68
4.56,8,0.5,3,8,3.72,3.82
7.07,8,3.8,6,6,4.28,4.52
7.39,38,1.61,4,5,6.04,5.15
5.64,0,4.06,10,6,6.48,4.68
7.96,20,2.55,5,7,5.32,5.28
4.51,3,2.69,6,9,3.59,4.7
6.9,35,1.33,7,6,6.82,5.5
5.18,30,6.23,8,7,5.95,3.96
6.02,14,2.64,4,8,3.41,4.25
7.07,5,2.75,7,7,4.96,6.87
5.71,20,7.06,8,7,4.8,4.83
6.42,3,5.14,6,7,5.69,4.83
8.51,4,0.5,6,5,6.4,5.12
6.13,20,6.77,5,8,3.88,3.85
8.25,95,7.3,5,6,5.82,5.36
5.31,44,7.11,6,7,4.39,4.99
7.79,18,5.34,5,5,4.55,4.6
9.16,15,1.8,8,3,7.13,6.65
3.29,129,3.9,4,7,4.82,4.42
5.8,16,1.1,8,6,5.79,3.89
7.87,11,2.27,8,5,6.17,6.84
6.7,48,1.78,7,5,5.05,4.86
7.56,5,2.75,3,6,3.98,3.46
6.09,2,4.33,7,9,4.48,3.73
7.13,20,3.11,5,6,5.59,6.15
6.77,2,3.02,5,6,4.84,5.79
8.75,9,3.42,7,4,5.18,5.63
7.38,11,7.0,8,7,3.81,6.88
7.51,16,8.33,3,10,3.6,5.01
6.38,96,3.1,6,6,6.08,5.84
6.27,5,4.67,10,5,6.34,7.81
6.35,9,2.32,4,7,5.51,5.32
7.59,3,5.54,6,7,5.66,4.95
6.37,19,3.05,5,4,5.4,5.45
7.43,26,2.58,7,6,5.25,5.26
10.11,13,8.0,4,9,5.86,4.74
8.31,6,1.29,3,6,4.0,4.67
6.51,19,0.5,7,5,6.33,4.94
8.8,15,5.47,6,7,6.72,5.72
6.39,4,3.26,4,8,5.02,2.47
3.94,10,2.71,6,8,3.56,4.04
5.49,11,9.46,4,10,1.93,2.92
4.19,81,5.46,8,8,4.47,5.69
6.47,38,3.88,7,5,5.54,5.26
7.03,27,2.58,5,5,4.95,5.41
9.51,44,4.89,5,5,6.13,5.79
7.49,27,0.53,5,4,4.26,4.71
6.67,47,2.97,4,8,5.16,4.69
8.24,1,3.93,8,6,5.32,6.09
3.68,12,4.43,8,8,4.16,5.12
7.35,27,3.72,5,8,4.44,6.05
8.16,18,2.61,5,6,5.82,7.18
4.78,4,5.84,4,8,2.91,3.65
8.72,8,0.7,6,5,4.62,6.32
7.51,8,3.44,7,7,5.68,5.69
6.38,6,2.96,8,5,4.29,4.98
7.95,8,6.02,4,9,4.1,4.04
10.41,14,3.08,3,6,6.19,5.83
7.27,39,4.88,4,8,4.97,5.56
7.37,27,4.67,7,6,5.5,6.62
6.31,36,0.5,6,5,5.47,5.26
5.73,43,3.87,8,7,4.56,4.84
8.25,11,0.51,6,1,6.57,7.53
5.72,8,4.7,9,6,5.61,5.03
7.11,1,2.54,3,8,4.16,3.02
6.28,53,6.37,2,7,3.93,3.98
7.72,1,3.64,8,5,5.66,5.78
7.5,27,2.46,5,6,5.75,5.15
8.56,9,6.4,6,6,4.85,5.31
6.23,59,2.26,6,6,4.43,5.34
6.6,11,5.79,7,6,5.64,5.13
5.53,34,4.94,5,7,3.38,4.82
6.33,7,3.27,4,8,3.49,4.17
7.57,7,1.33,4,7,4.98,4.69
8.14,18,6.48,7,7,5.61,5.96
5.62,124,5.0,7,6,5.86,6.57
8.3,15,2.46,6,7,6.43,4.52
9.03,55,4.49,5,5,6.66,5.43
7.62,31,6.01,7,8,5.18,4.17
9.82,32,4.22,3,8,4.68,5.08
5.84,11,4.48,10,4,6.04,5.71
5.13,10,6.06,7,8,4.37,3.65
4.33,4,7.07,6,8,4.45,3.74
9.24,66,3.76,7,5,6.55,5.99
7.98,64,1.33,7,5,7.18,6.91
6.92,27,1.39,6,5,4.49,5.44
7.42,7,2.62,3,8,4.41,3.94
5.31,6,2.13,7,6,4.27,5.03
10.67,90,0.64,9,2,8.52,9.07
7.19,1,7.7,5,8,4.01,4.27
7.16,37,5.06,8,5,5.08,5.81
8.09,9,2.95,8,6,5.35,5.98
7.72,11,3.93,7,4,5.4,6.53
7.34,36,0.5,6,8,6.61,4.16
5.81,2,6.31,7,7,4.09,4.65
7.71,9,0.5,7,4,4.58,7.16
9.82,61,5.02,9,4,6.83,8.3
9.02,24,0.5,8,4,5.5,7.19
9.39,28,3.17,7,4,5.74,7.13
6.23,28,6.49,8,7,3.37,7.19
5.52,1,0.73,7,8,4.18,4.92
6.81,5,3.7,2,10,3.63,2.98
7.08,14,5.26,6,7,4.53,6.01
8.64,9,4.93,5,6,4.91,5.45
4.46,11,4.14,7,7,6.14,2.98
9.29,30,4.99,5,7,5.03,5.76
